x,y,elev,LAT,LON,coords.x1,coords.x2
1248.1241,443.7076,7.94,26.1180376800228,-97.5232114882283,-97.5232114882283,26.1180376800228
1253.1241,443.7076,7.03,26.117018941665,-97.4733183944401,-97.4733183944401,26.117018941665
1258.1241,443.7076,8.84,26.115979891439,-97.4234263286348,-97.4234263286348,26.115979891439
1263.1241,443.7076,4.58,26.1149205300653,-97.3735353110745,-97.3735353110745,26.1149205300653
1268.1241,443.7076,4.11,26.1138408582788,-97.3236453620192,-97.3236453620192,26.1138408582788
1163.1241,448.7076,34.18,26.1772988676613,-98.3707966901808,-98.3707966901808,26.1772988676613
1168.1241,448.7076,33.2,26.1766251827271,-98.320866703546,-98.320866703546,26.1766251827271
1173.1241,448.7076,29.63,26.1759311654174,-98.2709374010172,-98.2709374010172,26.1759311654174
1178.1241,448.7076,37.94,26.1752168162132,-98.22100880292,-98.22100880292,26.1752168162132
1183.1241,448.7076,34.84,26.1744821356099,-98.1710809295784,-98.1710809295784,26.1744821356099
1188.1241,448.7076,30.43,26.1737271241168,-98.1211538013147,-98.1211538013147,26.1737271241168
1193.1241,448.7076,28.95,26.1729517822574,-98.071227438449,-98.071227438449,26.1729517822574
1198.1241,448.7076,25.55,26.1721561105693,-98.0213018613001,-98.0213018613001,26.1721561105693
1203.1241,448.7076,20.46,26.171340109604,-97.9713770901843,-97.9713770901843,26.171340109604
1208.1241,448.7076,20.06,26.1705037799275,-97.9214531454164,-97.9214531454164,26.1705037799275
1213.1241,448.7076,17.35,26.1696471221195,-97.8715300473089,-97.8715300473089,26.1696471221195
1218.1241,448.7076,16.7,26.1687701367739,-97.8216078161723,-97.8216078161723,26.1687701367739
1223.1241,448.7076,15.31,26.1678728244989,-97.7716864723151,-97.7716864723151,26.1678728244989
1228.1241,448.7076,13.56,26.1669551859165,-97.7217660360434,-97.7217660360434,26.1669551859165
1233.1241,448.7076,11.97,26.166017221663,-97.6718465276613,-97.6718465276613,26.166017221663
1238.1241,448.7076,10.11,26.1650589323887,-97.6219279674705,-97.6219279674705,26.1650589323887
1243.1241,448.7076,7.79,26.164080318758,-97.5720103757705,-97.5720103757705,26.164080318758
1248.1241,448.7076,6.49,26.1630813814495,-97.5220937728584,-97.5220937728584,26.1630813814495
1253.1241,448.7076,5.15,26.1620621211558,-97.4721781790287,-97.4721781790287,26.1620621211558
1258.1241,448.7076,4.62,26.1610225385836,-97.4222636145737,-97.4222636145737,26.1610225385836
1263.1241,448.7076,4.39,26.1599626344536,-97.3723500997831,-97.3723500997831,26.1599626344536
1268.1241,448.7076,2.59,26.1588824095008,-97.322437654944,-97.322437654944,26.1588824095008
1283.1241,448.7076,1.53,26.1555198172658,-97.1727069429671,-97.1727069429671,26.1555198172658
1148.1241,453.7076,29.51,26.2242526042392,-98.5199224841632,-98.5199224841632,26.2242526042392
1153.1241,453.7076,34.23,26.2236396055511,-98.4699680247315,-98.4699680247315,26.2236396055511
1158.1241,453.7076,36.15,26.2230062627184,-98.4200141892634,-98.4200141892634,26.2230062627184
1163.1241,453.7076,40.54,26.2223525761801,-98.3700609981169,-98.3700609981169,26.2223525761801
1168.1241,453.7076,42.52,26.2216785463894,-98.3201084716485,-98.3201084716485,26.2216785463894
1173.1241,453.7076,37.88,26.2209841738134,-98.2701566302131,-98.2701566302131,26.2209841738134
1178.1241,453.7076,35.97,26.2202694589333,-98.2202054941639,-98.2202054941639,26.2202694589333
1183.1241,453.7076,31.52,26.2195344022446,-98.1702550838524,-98.1702550838524,26.2195344022446
1188.1241,453.7076,30.23,26.2187790042566,-98.1203054196282,-98.1203054196282,26.2187790042566
1193.1241,453.7076,25.61,26.2180032654931,-98.0703565218393,-98.0703565218393,26.2180032654931
1198.1241,453.7076,23.13,26.2172071864915,-98.0204084108316,-98.0204084108316,26.2172071864915
1203.1241,453.7076,18.17,26.2163907678038,-97.9704611069493,-97.9704611069493,26.2163907678038
1208.1241,453.7076,20.13,26.2155540099958,-97.9205146305345,-97.9205146305345,26.2155540099958
1213.1241,453.7076,16.56,26.2146969136475,-97.8705690019271,-97.8705690019271,26.2146969136475
1218.1241,453.7076,12.97,26.2138194793528,-97.8206242414653,-97.8206242414653,26.2138194793528
1223.1241,453.7076,13.29,26.2129217077201,-97.7706803694849,-97.7706803694849,26.2129217077201
1228.1241,453.7076,10.85,26.2120035993715,-97.7207374063197,-97.7207374063197,26.2120035993715
1233.1241,453.7076,11.11,26.2110651549434,-97.670795372301,-97.670795372301,26.2110651549434
1238.1241,453.7076,9.66,26.2101063750864,-97.6208542877583,-97.6208542877583,26.2101063750864
1243.1241,453.7076,8.47,26.2091272604649,-97.5709141730183,-97.5709141730183,26.2091272604649
1248.1241,453.7076,5.88,26.2081278117575,-97.5209750484055,-97.5209750484055,26.2081278117575
1253.1241,453.7076,6.81,26.2071080296572,-97.4710369342422,-97.4710369342422,26.2071080296572
1258.1241,453.7076,3.19,26.2060679148706,-97.4210998508479,-97.4210998508479,26.2060679148706
1263.1241,453.7076,4.57,26.2050074681188,-97.3711638185397,-97.3711638185397,26.2050074681188
1268.1241,453.7076,3.9,26.2039266901368,-97.3212288576323,-97.3212288576323,26.2039266901368
1133.1241,458.7076,42.12,26.2710277903666,-98.6691884249827,-98.6691884249827,26.2710277903666
1138.1241,458.7076,41.29,26.2704755442789,-98.6192096506425,-98.6192096506425,26.2704755442789
1143.1241,458.7076,60.77,26.2699029424067,-98.5692314399459,-98.5692314399459,26.2699029424067
1148.1241,458.7076,56.68,26.2693099851468,-98.5192538132828,-98.5192538132828,26.2693099851468
1153.1241,458.7076,57.02,26.26869667291,-98.469276791042,-98.469276791042,26.26869667291
