"","ID","year","month","day","TMAX"
"29474","USC00020949",1972,6,24,367
"29475","USC00020949",1972,6,25,378
"29476","USC00020949",1972,6,26,389
"29477","USC00020949",1972,6,27,406
"29478","USC00020949",1972,6,28,439
"29479","USC00020949",1972,6,29,450
"29480","USC00020949",1972,6,30,467
"29544","USC00020949",1972,7,1,461
"29545","USC00020949",1972,7,2,444
"29546","USC00020949",1972,7,3,444
"29547","USC00020949",1972,7,4,461
"29548","USC00020949",1972,7,5,444
"29549","USC00020949",1972,7,6,433
"29550","USC00020949",1972,7,7,433
"29551","USC00020949",1972,7,8,428
"29552","USC00020949",1972,7,9,428
"29553","USC00020949",1972,7,10,428
"29554","USC00020949",1972,7,11,439
"29555","USC00020949",1972,7,12,456
"29556","USC00020949",1972,7,13,450
"29557","USC00020949",1972,7,14,450
"29558","USC00020949",1972,7,15,428
"29559","USC00020949",1972,7,16,400
"29560","USC00020949",1972,7,17,394
"29561","USC00020949",1972,7,18,406
"29562","USC00020949",1972,7,19,406
"29563","USC00020949",1972,7,20,400
"29564","USC00020949",1972,7,21,406
"29565","USC00020949",1972,7,22,417
"29566","USC00020949",1972,7,23,411
"29567","USC00020949",1972,7,24,400
"29568","USC00020949",1972,7,25,394
"29569","USC00020949",1972,7,26,433
"29570","USC00020949",1972,7,27,444
"29571","USC00020949",1972,7,28,467
"29572","USC00020949",1972,7,29,456
"29573","USC00020949",1972,7,30,450
"29574","USC00020949",1972,7,31,461
"29637","USC00020949",1972,8,1,461
"29638","USC00020949",1972,8,2,450
"29639","USC00020949",1972,8,3,444
"29640","USC00020949",1972,8,4,406
"29641","USC00020949",1972,8,5,406
"29642","USC00020949",1972,8,6,406
"29643","USC00020949",1972,8,7,417
"29644","USC00020949",1972,8,8,417
"29645","USC00020949",1972,8,9,406
"29646","USC00020949",1972,8,10,411
"29647","USC00020949",1972,8,11,400
"29648","USC00020949",1972,8,12,383
"29649","USC00020949",1972,8,13,378
"29650","USC00020949",1972,8,14,383
"29651","USC00020949",1972,8,15,378
"29652","USC00020949",1972,8,16,383
"29653","USC00020949",1972,8,17,389
"29654","USC00020949",1972,8,18,378
"29655","USC00020949",1972,8,19,383
"29656","USC00020949",1972,8,20,389
"29657","USC00020949",1972,8,21,411
"29658","USC00020949",1972,8,22,433
"29659","USC00020949",1972,8,23,433
"29660","USC00020949",1972,8,24,411
"29661","USC00020949",1972,8,25,389
"29662","USC00020949",1972,8,26,356
"29663","USC00020949",1972,8,27,367
"29664","USC00020949",1972,8,28,383
"29665","USC00020949",1972,8,29,378
"29666","USC00020949",1972,8,30,383
"29667","USC00020949",1972,8,31,406
"29730","USC00020949",1972,9,1,406
"29731","USC00020949",1972,9,2,411
"29732","USC00020949",1972,9,3,394
"29733","USC00020949",1972,9,4,411
"29734","USC00020949",1972,9,5,406
